"ID","time","lon","lat","x","y"
4155777,2011-12-13 00:22:57,7.231573465,-69.89723462,184.721858082006,-954.316328211185
4155777,2011-12-13 00:52:57,7.25831616,-69.82244958,188.70484105961,-946.835443668972
4155777,2011-12-13 01:22:57,7.311297339,-69.71319766,195.040931954791,-936.105250924503
4155777,2011-12-13 01:52:57,7.389326812,-69.59585736,202.639500736177,-924.886674070788
4155777,2011-12-13 02:22:57,7.488740201,-69.48424186,210.820946452614,-914.586180833004
4155777,2011-12-13 02:52:57,7.58630658,-69.3721707,218.987584700911,-904.228620883177
4155777,2011-12-13 03:22:57,7.669772191,-69.26240971,226.569957263886,-893.925427356614
4155777,2011-12-13 03:52:57,7.706240444,-69.21023808,230.064706236326,-888.986074959876
4155777,2011-12-13 04:22:57,7.704901249,-69.20691751,230.151002583282,-888.618455402216
4155777,2011-12-13 04:52:57,7.702407245,-69.20547589,230.117217773879,-888.430986146473
4155777,2011-12-13 05:22:57,7.690113208,-69.19836607,229.950606636318,-887.506496344624
4155777,2011-12-13 05:52:57,7.57122283,-69.14355605,227.752792585639,-880.028555694023
4155777,2011-12-13 06:22:57,7.407078487,-69.06291767,224.875300436595,-869.183834665874
4155777,2011-12-13 06:52:57,7.216891284,-68.93619883,222.808096049383,-853.118516902223
4155777,2011-12-13 07:22:57,7.006675684,-68.84029449,218.658341924428,-840.002981031123
4155777,2011-12-13 07:52:57,6.783450686,-68.76480934,213.126099691374,-828.858882931324
4155777,2011-12-13 08:22:57,6.52334192,-68.66252097,207.145754669935,-814.375349541064
4155777,2011-12-13 08:52:57,6.13840066,-68.54097685,196.956265184483,-796.121756480362
4155777,2011-12-13 09:22:57,5.844660395,-68.46439649,188.439879621603,-783.935781959859
4155777,2011-12-13 09:52:57,5.416702141,-68.37540059,175.026250865832,-768.636920702175
4155777,2011-12-13 10:22:57,4.992650746,-68.28572166,161.618588089817,-753.396805322041
4155777,2011-12-13 10:52:57,4.525271577,-68.18222188,146.806361425935,-736.193753488821
4155777,2011-12-13 11:22:57,4.285177223,-68.12776425,139.158352514499,-727.255713079177
4155777,2011-12-13 11:52:57,4.036864764,-68.07144223,131.187826445377,-718.038189432675
4155777,2011-12-13 12:22:57,3.626581904,-67.97802401,117.895257138772,-702.82971394498
4155777,2011-12-13 12:52:57,3.259592937,-67.87779298,106.4099518776,-687.500297601254
4155777,2011-12-13 13:22:57,2.940256668,-67.78779284,96.378319433057,-673.907360131147
4155777,2011-12-13 13:52:57,2.816307161,-67.76045077,92.2088774921185,-669.459323770701
4155777,2011-12-13 14:22:57,2.78727814,-67.76076264,91.0156827835565,-669.141204591835
4155777,2011-12-13 14:52:57,2.656786985,-67.7475677,86.1136702041938,-666.146903217765
4155777,2011-12-13 15:22:57,2.615052205,-67.74806696,84.3946336426268,-665.699506303029
4155777,2011-12-13 15:52:57,2.614362964,-67.75237645,84.2301461741554,-666.155262805549
4155777,2011-12-13 16:22:57,2.606457126,-67.75447941,83.841023547036,-666.286924162499
4155777,2011-12-13 16:52:57,2.485811624,-67.72990426,79.6889516145052,-662.198376000486
4155777,2011-12-13 17:22:57,2.057256661,-67.64090762,64.8862431276189,-647.550039326789
4155777,2011-12-13 17:52:57,1.748071374,-67.55715716,54.6901594583801,-634.926910653107
4155777,2011-12-13 18:22:57,1.429702219,-67.47426878,43.9786469756189,-622.336344525917
4155777,2011-12-13 18:52:57,1.143911614,-67.44437162,32.9797883407648,-615.895852406973
4155777,2011-12-13 19:22:57,0.896205728,-67.41109837,23.6215740542261,-609.555386714437
4155777,2011-12-13 19:52:57,0.749318141,-67.38123186,18.3401146765302,-604.712831482738
4155777,2011-12-13 20:22:57,0.571170818,-67.35837813,11.5359250279603,-600.306172598288
4155777,2011-12-13 20:52:57,0.393222263,-67.3277939,4.93408635981973,-595.080642803086
4155777,2011-12-13 21:22:57,0.310558603,-67.30397647,2.12278002923654,-591.615047008119
4155777,2011-12-13 21:52:57,0.258920795,-67.2927423,0.262854392400186,-589.84780226406
4155777,2011-12-13 22:22:57,0.232481895,-67.28987661,-0.769195783656642,-589.257193166279
4155777,2011-12-13 22:52:57,0.167505204,-67.27679498,-3.14300967832128,-587.15103658151
4155777,2011-12-13 23:22:57,0.035473413,-67.24852367,-7.93235349296856,-582.694602218625
4155777,2011-12-13 23:52:57,-0.192748115,-67.19195743,-16.0443015523383,-574.175426140532
4155777,2011-12-14 00:22:57,-0.342633152,-67.15284519,-21.3496919148413,-568.381181824931
4155777,2011-12-14 00:52:57,-0.370511518,-67.15065179,-22.4722933883213,-567.858140664092
4155777,2011-12-14 01:22:57,-0.428547664,-67.14271466,-24.722366735075,-566.403667566543
4155777,2011-12-14 01:52:57,-0.431227323,-67.14614024,-24.9252413582103,-566.749647511501
4155777,2011-12-14 02:22:57,-0.643099522,-67.07893917,-32.1739444349889,-557.290500619358
4155777,2011-12-14 02:52:57,-0.729284584,-67.04561203,-34.9860569640539,-552.795415182068
4155777,2011-12-14 03:22:57,-0.735662665,-67.03678822,-35.0323293261963,-551.76961074424
4155777,2011-12-14 03:52:57,-0.739035707,-67.03760651,-35.1968649259231,-551.825222033431
4155777,2011-12-14 04:22:57,-0.740609661,-67.03962466,-35.3153955879338,-552.029615853708
4155777,2011-12-14 04:52:57,-0.741033431,-67.04200849,-35.3942725842312,-552.285350807651
4155777,2011-12-14 05:22:57,-0.750469098,-67.03122496,-35.5210552812412,-551.015379098285
4155777,2011-12-14 05:52:57,-0.761316432,-67.02294279,-35.7721309080998,-550.004129775498
4155777,2011-12-14 06:22:57,-0.765623125,-67.02076462,-35.9001862672417,-549.723705901008
4155777,2011-12-14 06:52:57,-0.764608856,-67.02182979,-35.8840905185637,-549.849969669988
4155777,2011-12-14 07:22:57,-0.802830975,-66.99911283,-36.9360863938127,-546.992177890447
4155777,2011-12-14 07:52:57,-0.841690628,-66.97410172,-37.9605903869624,-543.878186622424
4155777,2011-12-14 08:22:57,-0.865387142,-66.9341961,-37.9639302417916,-539.289724245561
4155777,2011-12-14 08:52:57,-0.866323259,-66.93168721,-37.9405702293257,-539.006722146565
4155777,2011-12-14 09:22:57,-0.86542194,-66.93316091,-37.9392517882789,-539.176439594914
4155777,2011-12-14 09:52:57,-0.864369108,-66.93473822,-37.9340749544949,-539.358962568743
4155777,2011-12-14 10:22:57,-0.871447863,-66.92904715,-38.0931641690156,-538.667887970842
4155777,2011-12-14 10:52:57,-0.864789498,-66.91296872,-37.4017877946387,-536.979722983128
4155777,2011-12-14 11:22:57,-0.940365108,-66.8649621,-39.4320691397077,-530.992991778978
4155777,2011-12-14 11:52:57,-0.945312355,-66.86354229,-39.6087456600615,-530.789150967524
4155777,2011-12-14 12:22:57,-0.967009783,-66.81013639,-39.2007206829401,-524.746113598517
4155777,2011-12-14 12:52:57,-0.971330524,-66.79621236,-39.0375870990383,-523.183671949382
4155777,2011-12-14 13:22:57,-0.968349097,-66.79233396,-38.8120085852865,-522.789843009424
4155777,2011-12-14 13:52:57,-0.962436408,-66.79075769,-38.5179056334098,-522.676290364729
4155777,2011-12-14 14:22:57,-1.024306111,-66.76696871,-40.5881337345143,-519.468571805354
4155777,2011-12-14 14:52:57,-1.077276788,-66.67233901,-40.5189600689175,-508.61509079491
4155777,2011-12-14 15:22:57,-1.195308817,-66.5532652,-42.6953608031824,-494.45037892644
4155777,2011-12-14 15:52:57,-1.329378604,-66.44190591,-45.8155246009865,-480.972025042799
4155777,2011-12-14 16:22:57,-1.372268199,-66.33678072,-45.138478760103,-469.06391803383
4155777,2011-12-14 16:52:57,-1.423570894,-66.18192969,-43.6494061433825,-451.634838179615
4155777,2011-12-14 17:22:57,-1.462697251,-66.10131796,-43.4379581291585,-442.438515747478
4155777,2011-12-14 17:52:57,-1.480716774,-66.04441633,-42.8695453450198,-436.040017587502
4155777,2011-12-14 18:22:57,-1.4489407,-65.98236414,-39.9628259456151,-429.565179249367
