"ID","stratum","obs","step","angle","ice_conc","times"
"bear1",3,1,0.415760940158648,0.225382403282511,98.0889784151397,1
"bear1",3,0,0.322145268068319,2.82540542847007,98.0663001851227,1
"bear1",3,0,1.03013137029153,0.337205347559695,98.3792822024507,1
"bear1",3,0,1.87557636693513,-2.07435694048716,96.67261246993,1
"bear1",3,0,12.0021570173716,-0.224353092640775,100,1
"bear1",3,0,6.11020903979511,-0.689832351764186,99.569631495229,1
"bear1",3,0,0.362655721206796,-3.03733246670736,98.0662057258479,1
"bear1",3,0,0.592188099072703,-1.69664876219418,97.8117658050857,1
"bear1",3,0,0.691178763638124,2.22812593429257,98.0536682764114,1
"bear1",3,0,1.01991419952041,0.605811665872176,98.4542467153834,1
"bear1",3,0,0.419849432788065,-2.13636753921799,97.8093962863852,1
"bear1",3,0,2.18313463154667,-2.20648973193315,96.2899448629706,1
"bear1",3,0,0.753385737791586,2.49878088066768,97.7838550965138,1
"bear1",3,0,0.347857223463398,-2.18959187388161,97.8949874156303,1
"bear1",3,0,6.66931786465125,-3.13865511512754,95.0777404208879,1
"bear1",3,0,4.72258499205891,-2.80955489446172,94.6809687375963,1
"bear1",3,0,1.03822935109537,0.683541237424748,98.486407539044,1
"bear1",3,0,1.64717549403159,2.96560935398226,96.7481392829076,1
"bear1",3,0,2.52795149658764,0.781575694976451,98.9745724023613,1
"bear1",3,0,3.11627149897618,-0.601762538797678,98.1864032001072,1
"bear1",3,0,2.47293211211564,0.0254413001318508,98.649702679953,1
"bear1",4,1,0.414957854409855,0.599764616584472,98.1173010758676,1
"bear1",4,0,3.30080641124994,1.13694858624994,98.4370308278415,1
"bear1",4,0,3.65215315407691,-2.077204742546,95.8915751805202,1
"bear1",4,0,5.21352539987289,-0.14824777366938,99.5701796848169,1
"bear1",4,0,1.39057484623011,-0.891531742565543,98.0387667930056,1
"bear1",4,0,8.94231804442416,1.30123019029327,97.4550136756167,1
"bear1",4,0,1.92906949168243,-0.487530069456891,98.3441178041128,1
"bear1",4,0,3.26129259605271,2.01302385715242,97.4399951356137,1
"bear1",4,0,0.396958818619608,1.77632668608006,98.2357182552707,1
"bear1",4,0,3.29773969964411,-1.58509569018153,97.252052752249,1
"bear1",4,0,7.15305836380685,-2.05403848089844,93.9055150470299,1
"bear1",4,0,5.43682090616175,-1.32955620000646,98.4597572637579,1
"bear1",4,0,0.746639077951599,-0.822364893859797,98.0775774985419,1
"bear1",4,0,8.29738295328951,2.38308634277446,96.4807082224758,1
"bear1",4,0,2.75760887527979,0.17086200527724,99.005887027937,1
"bear1",4,0,3.92165126734417,0.878780574656994,98.7039723150846,1
